id,priority,risk,status,statement
REQ-INC-002,P0,P0-RECOVERY,PLANNED,"Each runbook has detection, authority, containment, evidence, communication, recovery, escalation, and post-incident review."
REQ-SEC-004,P0,P0-AUTHORITY,PLANNED,No shared privileged/provider dashboards; stale access revoked; exceptions have owner/expiry.
REQ-QA-001,P0,P0-RECOVERY,PLANNED,No P0 requirement lacks oracle/owner/test plan; unknown IDs fail CI; progressive activation matrices are separate.
REQ-QA-002,P0,P0-RECOVERY,PLANNED,Breaking changes fail; provider simulator and production adapter satisfy same port; consumers do not depend on internal persistence.
REQ-QA-003,P0,P0-FINANCIAL,PLANNED,Properties hold for generated sequences; counterexamples persist as regression fixtures.
REQ-QA-004,P0,P0-RECOVERY,PLANNED,"Tests use barriers/locks, not sleeps; authoritative final state, audit, outbox, ledger/custody are asserted."
REQ-QA-005,P0,P0-COMMERCE,PLANNED,No DB edits complete journeys; intended actors can recover; provider/custody truth asserted through approved inspection.
REQ-QA-006,P1,P1-PROGRESSIVE,PLANNED,Tests passing does not activate feature; capacity/operations/Part 13 gate still required.
REQ-QA-007,P0,P0-COMMERCE,PLANNED,Critical journeys meet WCAG 2.2 AA target; automation is not sole evidence; defects have severity/owner.
REQ-QA-008,P0,P0-AUTHORITY,PLANNED,No Critical/High launch blocker unresolved; tests cover direct API and stale/deep-link/session races.
REQ-QA-009,P0,P0-RECOVERY,PLANNED,Configured pilot capacity passes without removing authorization/audit/transactions; degradation preserves safety and honest status.
REQ-QA-010,P0,P0-FINANCIAL,PLANNED,Every live value movement reconciles; test recipients/data isolated; maker-checker and rollback observed.
REQ-UAT-001,P0,P1-OPERATIONS,PLANNED,No developer DB intervention; defects triaged; accountable owners sign each P0 script.
REQ-UAT-002,P0,P1-OPERATIONS,PLANNED,Seller completes tasks from approved interfaces/training; no constant founder intervention; catalogue truth is usable.
REQ-UAT-003,P0,P0-CUSTODY,PLANNED,Every parcel has one custodian; approved points/procedures work physically; operations can recover.
REQ-UAT-004,P0,P0-AUTHORITY,PLANNED,Each role can complete only permitted responsibilities; maker-checker and escalation work; audit/evidence complete.
REQ-REL-001,P0,P0-RECOVERY,PLANNED,"Missing/expired/failed P0 evidence makes gate fail; report distinguishes deployment, feature activation, and paid-pilot activation."
REQ-REL-002,P0,P0-RECOVERY,PLANNED,"Accounts are organisation-controlled, least-privilege, inventoried, monitored, and isolated from staging; no shared personal admin account."
REQ-REL-003,P0,P0-RECOVERY,PLANNED,Deployment does not enable real payments/orders; rollback preserves schema/data compatibility; health proves dependencies honestly.
REQ-REL-004,P0,P1-OPERATIONS,PLANNED,No placeholder/live false data; inventory reconfirmed; every actor has minimum authority/training and no excess privilege.
REQ-REL-005,P0,P0-RECOVERY,PLANNED,Limit reached fails safely or widens promise as approved; all progressive features remain disabled unless separately passed.
REQ-REL-006,P0,P1-OPERATIONS,PLANNED,Pilot opens only when staffed coverage exists; staff can use runbooks without developer intervention.
REQ-REL-007,P0,P0-FINANCIAL,PLANNED,"Provider, order, ledger, custody, refund/payout and notifications reconcile; test artefacts identified and retained/deleted correctly."
REQ-REL-008,P0,P0-RECOVERY,PLANNED,Part 13 can decide every gate without searching private chats or requesting undocumented demonstrations.
