id,priority,risk,status,statement
REQ-INS-002,P0,P0-AUTHORITY,PLANNED,Straightforward cases can approve; duplicate/conflict never silently merges; affiliation is independent from seller/payout/trust status.
REQ-INS-003,P0,P0-PRIVACY,PLANNED,"Evidence is private, least-privilege, time-limited, and not visible to sellers/riders; decision preserves history and reason."
REQ-INS-004,P0,P0-AUTHORITY,PLANNED,Expired affiliation removes campus checkout without deleting account/history; stale sessions cannot retain capability.
REQ-LOC-001,P0,P0-CUSTODY,PLANNED,Only approved active points are selectable; private room data is not exposed; all times use Africa/Lagos policy.
REQ-LOC-002,P0,P0-CUSTODY,PLANNED,Closure blocks new commitments but preserves in-flight obligations; changes are audited and conflict-safe.
REQ-SEL-001,P0,P0-AUTHORITY,PLANNED,Seller type is not a global role; application approval and activation are distinct; agreements are versioned.
REQ-SEL-002,P0,P1-OPERATIONS,PLANNED,Applicant sees truthful status and missing actions; private evidence uses Files policy; no public store before activation.
REQ-SEL-003,P1,P1-PROGRESSIVE,PLANNED,No public external registration; invitation alone does not activate checkout or inbound logistics.
REQ-SEL-004,P0,P1-OPERATIONS,PLANNED,Reviewer authority is scoped; decision is auditable; approved seller remains inactive until readiness conditions pass.
REQ-SEL-005,P0,P0-COMMERCE,PLANNED,Suspension blocks new commerce without losing paid-order obligations; no generic admin status edit.
REQ-RDR-001,P0,P0-CUSTODY,PLANNED,Rider capability is institution-scoped and independent from buyer/seller roles; sensitive data is limited.
REQ-RDR-002,P0,P0-CUSTODY,PLANNED,Expired/off-shift rider cannot accept assignments; override is reasoned and audited; Wi-Fi-first operation supported.
REQ-CUX-001,P0,P0-AUTHORITY,PLANNED,"Dispatcher sees only assigned/eligible jobs and cannot access buyer private location, payments, seller ledger, or admin controls."
REQ-CAT-001,P0,P0-COMMERCE,PLANNED,Category-specific fields replace giant nullable product table; disabled commerce types cannot create live listings.
REQ-CAT-002,P0,P0-COMMERCE,PLANNED,Canonical product is seller-independent; duplicate suggestions require human approval; existing order snapshots are unaffected.
